date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2021-08-01,B_ValueQuality,oos,0.008261,0.01568,0.012392,-0.033295,0.045687,0.270728,0.136842,0.203785,591.0,570.0,-0.026649,0.002038,0.00125,0.0,-0.00125,0.0,5.927242,3.078947,1.221205,0.008261,0.052391,0.09007,0.04317,-0.071718,0.073319,0.154333,0.111309,-0.039901,-0.117997,-0.215661,0.343359,0.16883,0.550571,0.277746,0.365855,0.110662,0.666667,0.666667,0.583333
2021-09-01,B_ValueQuality,oos,0.036195,0.058026,0.054292,0.038353,0.015938,0.380117,0.116697,0.248407,513.0,557.0,0.030511,0.002484,0.00125,0.0,-0.00125,0.0,6.444444,2.764811,1.265406,0.036195,0.027391,0.0828,0.070822,-0.04775,0.070306,0.157562,0.110992,-0.039901,-0.094907,-0.215661,0.506669,0.164807,0.829454,0.27075,0.74622,0.106216,0.666667,0.666667,0.583333
2021-10-01,B_ValueQuality,oos,0.053469,0.083803,0.080204,-0.033706,0.113909,0.374713,0.095064,0.234888,435.0,547.0,-0.048922,0.002349,0.00125,0.0,-0.00125,0.0,6.471264,2.599634,1.333066,0.053469,0.100617,0.102951,0.157609,0.015871,0.10796,0.159738,0.114549,-0.01662,-0.092612,-0.215661,0.994617,0.269085,1.646043,0.456947,1.701823,0.161198,1.0,0.666667,0.666667
2021-11-01,B_ValueQuality,oos,0.064537,0.101658,0.096806,0.049977,0.046829,0.434564,0.285962,0.360263,596.0,577.0,0.019265,0.003603,0.00125,0.0,-0.00125,0.0,5.604027,3.57539,1.419098,0.064537,0.162048,0.222929,0.235443,0.094875,0.146113,0.166442,0.119016,-0.01662,-0.039901,-0.215661,1.357997,0.362589,2.333514,0.640848,5.900679,0.215653,1.0,0.833333,0.75
2021-12-01,B_ValueQuality,oos,0.019077,0.036453,0.028615,-0.062357,0.090972,0.853717,0.46383,0.658773,417.0,470.0,-0.056669,0.006588,0.00125,0.0,-0.00125,0.0001,4.760192,2.989362,1.44617,0.019077,0.142851,0.174155,0.387511,0.120534,0.213628,0.114085,0.116636,0.0,-0.039901,-0.215661,2.960861,0.537265,8.080578,0.954887,9.711813,0.309125,1.0,0.833333,0.833333
2022-01-01,B_ValueQuality,oos,0.020454,0.041931,0.030681,-0.000333,0.031014,1.0,1.0,1.0,500.0,500.0,-0.005113,0.01,0.00125,0.0,-0.00125,0.0,6.636,2.328,1.47575,0.020454,0.107034,0.218421,0.399175,0.143293,0.255138,0.113079,0.116355,0.0,-0.039901,-0.215661,3.062399,0.641427,8.28405,1.133198,10.004119,0.364885,1.0,1.0,0.833333
2022-02-01,B_ValueQuality,oos,0.005677,0.012241,0.008515,0.009003,-0.000487,0.32106,0.174067,0.247564,679.0,563.0,0.011358,0.002476,0.00125,0.0,-0.00125,0.0,6.740795,2.381883,1.484128,0.005677,0.045825,0.215298,0.324759,0.133308,0.285009,0.108967,0.11544,0.0,-0.039901,-0.215661,2.659678,0.719694,6.93277,1.260485,8.139124,0.404253,1.0,1.0,0.833333
2022-03-01,B_ValueQuality,oos,0.056648,0.088525,0.084972,-0.070931,0.155903,0.205021,0.255507,0.230264,717.0,681.0,-0.107026,0.002303,0.00125,0.0,-0.00125,0.0,6.627615,2.913363,1.568201,0.056648,0.084382,0.239287,0.3419,0.251834,0.318004,0.112317,0.118198,0.0,-0.039901,-0.215661,2.700484,0.781759,7.255621,1.403848,8.568705,0.447036,1.0,1.0,0.833333
2022-04-01,B_ValueQuality,oos,0.042783,0.068079,0.064174,0.007175,0.056999,0.294906,0.235971,0.265439,746.0,695.0,-0.017703,0.002654,0.00125,0.0,-0.00125,0.0,6.257373,2.785612,1.635294,0.042783,0.10811,0.226716,0.353008,0.344604,0.361335,0.113382,0.119867,0.0,-0.01662,-0.215661,2.750624,0.868524,7.460402,1.582298,21.240281,0.502149,1.0,1.0,0.833333
2022-05-01,B_ValueQuality,oos,-0.005489,-0.001404,-0.008234,-0.095905,0.087672,0.756757,0.377495,0.567126,518.0,551.0,-0.081097,0.005671,0.00125,9.2e-05,-0.001158,0.0003,5.289575,3.533575,1.626317,-0.005489,0.095807,0.146022,0.401503,0.386761,0.329402,0.095351,0.120031,-0.005489,-0.01662,-0.215661,3.623793,0.805894,20.240021,1.475114,24.158179,0.461649,0.666667,0.833333,0.833333
2022-06-01,B_ValueQuality,oos,-0.001975,0.003646,-0.002962,0.074875,-0.077837,0.708464,0.441341,0.574902,638.0,716.0,0.080218,0.005749,0.00125,0.000392,-0.000858,0.0006,5.738245,2.755587,1.623106,-0.001975,0.035011,0.122348,0.31781,0.374826,0.294046,0.092784,0.119757,-0.007453,-0.007453,-0.215661,3.030026,0.734905,16.607258,1.345207,42.643686,0.416042,0.333333,0.666667,0.75
2022-07-01,B_ValueQuality,oos,-0.025318,-0.033961,-0.037977,-0.021798,-0.016179,0.383242,0.288385,0.335813,728.0,749.0,-0.010296,0.003358,0.00125,0.000592,-0.000658,0.0008,6.479396,2.632844,1.582012,-0.025318,-0.032582,0.072005,0.306153,0.33093,0.265375,0.097199,0.121124,-0.032582,-0.032582,-0.215661,2.78363,0.66913,10.451555,1.227141,9.396313,0.378446,0.0,0.5,0.75
2022-08-01,B_ValueQuality,oos,0.002234,0.008369,0.003351,-0.125537,0.128888,0.7607,0.331137,0.545919,514.0,607.0,-0.11256,0.005459,0.00125,0.001692,0.000442,0.0019,5.412451,3.30972,1.585546,0.002234,-0.02507,0.068335,0.298346,0.354395,0.205231,0.098366,0.118145,-0.032582,-0.032582,-0.215661,2.659617,0.543516,10.147538,0.97387,9.15668,0.297691,0.333333,0.5,0.75
2022-09-01,B_ValueQuality,oos,0.039431,0.061331,0.059146,0.08661,-0.027464,0.328313,0.196923,0.262618,664.0,650.0,0.070717,0.002626,0.00125,0.001692,0.000442,0.0019,5.537651,3.330769,1.648065,0.039431,0.015377,0.050927,0.3024,0.394639,0.24021,0.098915,0.119717,-0.032582,-0.032582,-0.205727,2.667256,0.618102,10.198782,1.12094,9.28113,0.361634,0.666667,0.5,0.75
2022-10-01,B_ValueQuality,oos,0.040079,0.06392,0.060118,0.045587,0.014531,0.635812,0.292887,0.464349,659.0,717.0,0.02216,0.004643,0.00125,0.002092,0.000842,0.0023,6.163885,3.393305,1.714118,0.040079,0.083505,0.048202,0.285846,0.488507,0.306254,0.095196,0.120689,-0.027243,-0.032582,-0.204098,2.621092,0.757213,9.597032,1.376934,8.77305,0.456351,1.0,0.5,0.75
2022-11-01,B_ValueQuality,oos,0.017004,0.02837,0.025506,-0.045117,0.070623,0.257235,0.603806,0.43052,622.0,578.0,-0.055794,0.004305,0.00125,0.002692,0.001442,0.0029,6.276527,3.692042,1.743265,0.017004,0.099473,0.071909,0.228431,0.517657,0.344979,0.082823,0.120181,-0.025318,-0.032582,-0.204098,2.413887,0.83749,7.66284,1.510579,7.010901,0.508763,1.0,0.666667,0.75
2022-12-01,B_ValueQuality,oos,-0.013274,-0.013176,-0.019911,0.123552,-0.143463,0.85,0.865347,0.857673,480.0,505.0,0.123928,0.008577,0.00125,0.003092,0.001842,0.0033,5.747917,3.223762,1.720125,-0.013274,0.043724,0.059773,0.189434,0.650354,0.332802,0.088309,0.120631,-0.013274,-0.032582,-0.204098,1.843948,0.803211,5.631667,1.454253,5.814032,0.492392,0.666667,0.666667,0.666667
2023-01-01,B_ValueQuality,oos,0.013579,0.023892,0.020369,-0.038582,0.058951,0.711507,0.401429,0.556468,617.0,700.0,-0.038824,0.005565,0.00125,0.003292,0.002042,0.0035,5.742301,3.568571,1.743483,0.013579,0.017131,0.102067,0.181421,0.653015,0.350711,0.088101,0.120557,-0.013274,-0.032582,-0.204098,1.732455,0.835052,5.275956,1.509147,5.568097,0.516435,0.666667,0.833333,0.666667
